species,SLA,WD,H,N,Scientific_name
Hibiscus_tilliaceus,9.952941561,0.530418633,20.0584,21.64590049,Hibiscus tilliaceus
Coprosma_ochracea,18.86485,0.71,7.572,15.2,Coprosma ochracea
Melicope_clusiifolia,4.9285,0.460166667,10,21.652,Melicope clusiifolia
Perrottetia_sandwicensis,13.69343063,0.345333333,7.54,14.304,Perrottetia sandwicensis
Pritchardia_munroi,11.00255653,0.466265361,7.62,16.42284323,Pritchardia munroi
Coprosma_rhynchocarpa,10.08832231,0.5065,9.484661333,20.026,Coprosma rhynchocarpa
Xylosma_hawaiiense,12.18716882,0.499968043,13.169032,21.91008755,Xylosma hawaiiense
Acacia_koaia,9.179712093,0.77,15.24,20.35847403,Acacia koaia
Nototrichium_sandwicense,10.27239802,0.48,10.800508,16.99150173,Nototrichium sandwicense
Charpentiera_ovata,14.72418252,0.390606281,9.291570667,16.23257484,Charpentiera ovata
Dracaena_aurea,14.41061133,0.45247579,8.42517,16.91783467,Dracaena aurea
Neraudia_angulata,10.21624422,0.433041443,7.391506667,18.66836302,Neraudia angulata
Osmanthus_sandwicensis,9.787881419,0.666147464,15.97313267,14.25377443,Osmanthus sandwicensis
Antidesma_pulvinatum,13.958,0.62,10.627603,14.6,Antidesma pulvinatum
Kadua_affinis,6.6934,0.663256552,7.072,14.4,Kadua affinis
Psychotria_hexandra,9.614130386,0.52,7.774357333,17.01844292,Psychotria hexandra
Scaevola_gaudichaudiana,11.8483,0.5,17.38596267,31.7,Scaevola gaudichaudiana
Wikstroemia_oahuensis,8.4674,0.52,7.575,17.1,Wikstroemia oahuensis
Santalum_freycinetianum,8.2305,0.75,20,22.43333333,Santalum freycinetianum
Alphitonia_ponderosa,10.05236062,0.5,24.5,23.16170569,Alphitonia ponderosa
Alyxia_stellata,7.9365,0.611663705,13.94764467,10.3,Alyxia stellata
Bobea_brevipes,7.429066707,0.65,11.07724263,15.76875211,Bobea brevipes
Claoxylon_sandwicense,13.33020657,0.35,13.353972,21.53707766,Claoxylon sandwicense
Coprosma_waimeae,8.582342911,0.71,7.210602667,16.77488304,Coprosma waimeae
Diospyros_hillebrandii,6.814617473,0.7,12.62,12.60612143,Diospyros hillebrandii
Euphorbia_celastroides,20.8311,0.421618729,12.725192,39.5811,Euphorbia celastroides
Kadua_acuminata,15.2905,0.618368616,2.524,21.8,Kadua acuminata
Melicope_barbigera,12.37228216,0.45,8.568068,17.73558366,Melicope barbigera
Psychotria_grandiflora,9.614130386,0.52,7.774357333,17.01844292,Psychotria grandiflora
Psychotria_greenwelliae,9.614130386,0.52,7.774357333,17.01844292,Psychotria greenwelliae
Psychotria_kaduana,10.2858708,0.52,8,16.67498311,Psychotria kaduana
Psychotria_mariniana,8.8574,0.52,19.906,17.4,Psychotria mariniana
Syzygium_sandwicense,6.7751,0.63,23.93,14.9,Syzygium sandwicense
Wikstroemia_furcata,9.782639319,0.52,9.171373292,16.48197001,Wikstroemia furcata
Pandanus_tectorius,10.443,0.507394074,12.71466667,14,Pandanus tectorius
Coprosma_foliosa,13.42004703,0.48,8,18.26007404,Coprosma foliosa
Cyanea_angustifolia,9.566963154,0.41608505,8.593196,24.28761627,Cyanea angustifolia
Myrsine_lanaiensis,9.131736101,0.53,9.882192667,12.57626425,Myrsine lanaiensis
Bobea_gaudichaudii,9.273491267,0.70457219,10.33099721,15.29123261,Bobea gaudichaudii
Caesalpinia_kauaiensis,10.63046193,0.773583639,14.82057733,26.29169858,Caesalpinia kauaiensis
Eugenia_reinwardtiana,12.29194554,0.575606307,16.06152854,17.14245634,Eugenia reinwardtiana
Pelea_wawraeana,9.990563176,0.511422376,9.553832625,16.47281001,Pelea wawraeana
Pisonia_umbellifera,14.76228537,0.369652948,8.793092,16.42489033,Pisonia umbellifera
Polyscias_oahuensis,9.215828683,0.480933902,10,17.19700446,Polyscias oahuensis
Psychotria_mauiensis,9.695067576,0.5195,7.774357333,17.02798442,Psychotria mauiensis
Chenopodium_oahuense,11.16253333,0.5,14.309506,33.5,Chenopodium oahuense
Cibotium_chamissoi,15.29940833,0.469319444,7.5052,19.11025,Cibotium chamissoi
Myrsine_sandwicensis,16.381,0.441,7,10.54025,Myrsine sandwicensis
Pritchardia_beccariana,14.2869312,0.471033933,9.004575333,16.93483706,Pritchardia beccariana
Kadua_axillaris,14.29832017,0.521580437,6,17.38153806,Kadua axillaris
Broussaisia_arguta,12.049225,0.193142857,5,14.1948,Broussaisia arguta
Cheirodendron_forbesii,10.50012271,0.47,12.452676,18.57708956,Cheirodendron forbesii
Melicope_volcanica,9.843119208,0.45,11,20.52587124,Melicope volcanica
Pittosporum_glabrum,9.025261136,0.57,10.69300933,17.40446234,Pittosporum glabrum
Sadleria_pallida,14.37615343,0.46760498,7.3917,16.49276961,Sadleria pallida
Sadleria_souleytiana,14.37615343,0.46760498,7.3917,16.49276961,Sadleria souleytiana
Sadleria_cyatheoides,14.37615343,0.46760498,7.3917,16.49276961,Sadleria cyatheoides
Pipturus_albidus,18.38163333,0.22472,6,18.93727273,Pipturus albidus
Touchardia_latifolia,11.08911909,0.649422503,3,18.24048224,Touchardia latifolia
Osteomeles_anthyllidifolia,7.473654545,0.811918182,3.3288,12.1591,Osteomeles anthyllidifolia
Santalum_paniculatum,5.4915,0.705833333,9.575,13.4,Santalum paniculatum
Clermontia_parviflora,16.04896,0.248714286,11.246576,29.421,Clermontia parviflora
Coprosma_longifolia,9.3897,0.71,9.609188,21.46666667,Coprosma longifolia
Clermontia_arborescens,13.26743365,0.5,6,20.70933825,Clermontia arborescens
Freycinetia_arborea,15.4937875,0.454228894,8.843967333,18.58888889,Freycinetia arborea
Melicope_haleakalae,10.25658579,0.45,11.537762,19.05274764,Melicope haleakalae
Rubus_macraei,10.44220465,0.743030512,14.894384,26.368953,Rubus macraei
Vaccinium_dentatum,10.11143741,0.694408,3.3288,13.79185264,Vaccinium dentatum
Dubautia_plantaginea,10.46546192,0.65,7.0052,18.77454337,Dubautia plantaginea
Bobea_sandwicensis,9.615564304,0.65,7.572,15.2330679,Bobea sandwicensis
Cheirodendron_platyphyllum,12.19577003,0.47,7.81,16.87723601,Cheirodendron platyphyllum
Cyanea_hirtella,13.1195,0.41072495,11.046924,32.48333333,Cyanea hirtella
Cyrtandra_longifolia,9.787881419,0.611324886,15.56467267,14.25377443,Cyrtandra longifolia
Melicope_anisata,10.25658579,0.45,11.687762,19.05274764,Melicope anisata
