"Species1","N","WD","H","SLA"
"Micromeria hyssopifolia",14.19136,0.705950333,0.4,15.04909091
"Micromeria varia",15.74456333,0.671116,0.4,23.67409091
"Parolinia intermedia",27.70239667,0.726246,1.3,8.475978261
"Patellifolia patellaris",21.23258,0.146984,1,13.14617744
"Patellifolia webbiana",20.24313,0.306009333,0.25,11.9616875
"Periploca laevigata",10.757415,0.636629,2,11.71400302
"Plocama pendula",12.80906,0.424902,4,4.174595825
"Polycarpaea divaricata",14.58093333,0.560687333,0.12,27.88049536
"Polycarpaea nivea",14.61065667,0.859171667,0.2,7.369593955
"Polygonum maritimum",22.72881871,0.425734542,0.6,22.25755878
"Rhamnus crenulata",14.4899175,0.718644,3,7.040221222
"Rubia fruticosa",14.40110667,0.509782,2,15.86733277
"Rumex lunaria",22.34815,0.300916,3,23.39344257
"Salsola divaricata",12.52033667,0.536756,2.5,5.770210776
"Schizogyne sericea",22.83480333,0.642099333,1.5,6.968142857
"Autonoe haemorrhoidalis",NA,NA,NA,NA
"Autonoe latifolia",NA,NA,NA,NA
"Tetraena fontanesii",12.16282667,0.690101333,0.6,3.128514851
"Neochamaelea pulverulenta",16.04930333,0.838494,1.5,0
"Adenocarpus foliolosus",45.0694325,0.5392945,4,13.1447619
"Aeonium ciliatum",10.2946975,0.419582333,1,5.992325208
"Andryala pinnatifida",22.977655,0.292027667,1,51.36932258
"Bystropogon canariensis",13.00852,0.437885,2,11.55776664
"Cytisus proliferus",NA,NA,NA,NA
"Cistus symphytifolius",12.719555,0.734288667,2,7.830857928
"Cynara cardunculus",15.61579,0.43713181,1,6.330740113
"Dracunculus canariensis",28.76251,0.062886,1.5,46.39307285
"Echium virescens",15.8213375,0.5023326,2,6.93302571
"Erica arborea",12.58352667,0.6193,12,8.292298137
"Erica platycodon",12.71953333,0.7148,6,5.462933333
"Globularia salicina",19.59661829,0.6703245,2,36.69672359
"Heberdenia excelsa",13.48842,0.623617,10,6.514340504
"Hypericum glandulosum",20.9681,0.557606333,2,22.16107521
"Hypericum reflexum",14.30832333,0.5441545,1.5,11.14567834
"Ilex canariensis",8.13622,0.644073,10,4.025023432
"Isoplexis canariensis",20.95603667,0.446551333,1.5,13.76669856
"Ixanthus viscosus",16.89202333,0.306951,2,16.44529243
"Laurus novocanariensis",17.172505,0.535495,25,7.10347159
"Morella faya",NA,NA,NA,NA
"Pericallis appendiculata",17.81091333,0.39597825,1,23.10375622
"Pericallis cruenta",27.89209,0.159794,1,34.4795654
"Pericallis lanata",29.25762667,0.515523667,0.4,44.53351786
"Pericallis tussilaginis",25.2002,0.202405,0.5,33.43931445
"Phyllis nobla",20.51410333,0.356893333,1,30.06877986
"Pinus canariensis",11.10948,0.626685,25,3.661729501
"Pistacia atlantica",18.013075,0.473853333,10,8.732566331
"Plantago arborescens",20.99565,0.569052333,0.6,20.28128571
"Prunus hixa",NA,NA,NA,NA
"Ranunculus cortusifolius",25.1951975,0.145436,1,30.98807353
"Rubia peregrina",13.85153,0.408449,2.5,17.51382353
"Rumex bucephalophorus",24.27085,0.108437667,0.4,49.67080322
"Sideritis cretica",15.64734333,0.559437,0.7,18.02960784
"Smilax aspera",15.90853667,0.422150667,4.7465,8.731563998
"Sonchus acaulis",25.32743,0.381131298,1,12.82233096
"Sonchus congestus",22.9232425,0.330598,1.5,26.98750146
"Sonchus gummifer",22.89282,0.287958,0.6,24.04648732
"Cytisus supranubius",17.12453,0.693091333,4,1.122070971
"Teline canariensis",27.133155,0.745341,3,13.36663108
"Viburnum rigidum",12.66054,0.65714,7,7.834985274
